make: Nothing to be done for `all'.
ASH: 4 threads, 128 models
Epochs: 1 || Local Duration: 798813 microseconds 

Epochs: 1 || Local Duration: 808356 microseconds 

Epochs: 1 || Local Duration: 1444439 microseconds 

Epochs: 1 || Local Duration: 754070 microseconds 

Epochs: 1 || Local Duration: 747897 microseconds 

Epochs: 1 || Local Duration: 756186 microseconds 

Epochs: 1 || Local Duration: 753769 microseconds 

Epochs: 1 || Local Duration: 1390255 microseconds 

Epochs: 1 || Local Duration: 3028157 microseconds 

Epochs: 1 || Local Duration: 739239 microseconds 

Epochs: 1 || Local Duration: 741594 microseconds 

Epochs: 1 || Local Duration: 747896 microseconds 

Epochs: 1 || Local Duration: 752590 microseconds 

Epochs: 1 || Local Duration: 1289783 microseconds 

Epochs: 1 || Local Duration: 754527 microseconds 

Epochs: 1 || Local Duration: 759519 microseconds 

Epochs: 1 || Local Duration: 755686 microseconds 

Epochs: 1 || Local Duration: 759838 microseconds 

Epochs: 1 || Local Duration: 1375819 microseconds 

Epochs: 1 || Local Duration: 3008887 microseconds 

Epochs: 1 || Local Duration: 757837 microseconds 

Epochs: 1 || Local Duration: 760121 microseconds 

Epochs: 1 || Local Duration: 1317967 microseconds 

Epochs: 1 || Local Duration: 767913 microseconds 

Epochs: 1 || Local Duration: 803425 microseconds 

Epochs: 1 || Local Duration: 748832 microseconds 

Epochs: 1 || Local Duration: 758179 microseconds 

Epochs: 1 || Local Duration: 1412615 microseconds 

Epochs: 1 || Local Duration: 748396 microseconds 

Epochs: 1 || Local Duration: 787755 microseconds 

Epochs: 1 || Local Duration: 766023 microseconds 

Epochs: 1 || Local Duration: 3061235 microseconds 

Epochs: 1 || Local Duration: 742347 microseconds 

Epochs: 1 || Local Duration: 1307849 microseconds 

Epochs: 1 || Local Duration: 762853 microseconds 

Epochs: 1 || Local Duration: 747869 microseconds 

Epochs: 1 || Local Duration: 750938 microseconds 

Epochs: 1 || Local Duration: 754254 microseconds 

Epochs: 1 || Local Duration: 1400471 microseconds 

Epochs: 1 || Local Duration: 744402 microseconds 

Epochs: 1 || Local Duration: 783187 microseconds 

Epochs: 1 || Local Duration: 751396 microseconds 

Epochs: 1 || Local Duration: 3086299 microseconds 

Epochs: 1 || Local Duration: 747435 microseconds 

Epochs: 1 || Local Duration: 1332429 microseconds 

Epochs: 1 || Local Duration: 720370 microseconds 

Epochs: 1 || Local Duration: 779036 microseconds 

Epochs: 1 || Local Duration: 746041 microseconds 

Epochs: 1 || Local Duration: 1413711 microseconds 

Epochs: 1 || Local Duration: 779169 microseconds 

Epochs: 1 || Local Duration: 750186 microseconds 

Epochs: 1 || Local Duration: 757741 microseconds 

Epochs: 1 || Local Duration: 752873 microseconds 

Epochs: 1 || Local Duration: 1434424 microseconds 

Epochs: 1 || Local Duration: 3076582 microseconds 

Epochs: 1 || Local Duration: 745328 microseconds 

Epochs: 1 || Local Duration: 719047 microseconds 

Epochs: 1 || Local Duration: 742029 microseconds 

Epochs: 1 || Local Duration: 1342544 microseconds 

