make: Nothing to be done for `all'.
ASH: 16 threads, 256 models
Epochs: 1 || Local Duration: 1314172 microseconds 

Epochs: 1 || Local Duration: 1317522 microseconds 

Epochs: 1 || Local Duration: 1319799 microseconds 

Epochs: 1 || Local Duration: 1331069 microseconds 

Epochs: 1 || Local Duration: 1332842 microseconds 

Epochs: 1 || Local Duration: 1333016 microseconds 

Epochs: 1 || Local Duration: 1335179 microseconds 

Epochs: 1 || Local Duration: 1338225 microseconds 

Epochs: 1 || Local Duration: 1758348 microseconds 

Epochs: 1 || Local Duration: 1811685 microseconds 

Epochs: 1 || Local Duration: 1871925 microseconds 

Epochs: 1 || Local Duration: 1874409 microseconds 

Epochs: 1 || Local Duration: 1877719 microseconds 

Epochs: 1 || Local Duration: 1882157 microseconds 

Epochs: 1 || Local Duration: 1893436 microseconds 

Epochs: 1 || Local Duration: 1917878 microseconds 

Epochs: 1 || Local Duration: 1135444 microseconds 

Epochs: 1 || Local Duration: 1148894 microseconds 

Epochs: 1 || Local Duration: 1150826 microseconds 

Epochs: 1 || Local Duration: 1172694 microseconds 

Epochs: 1 || Local Duration: 1159234 microseconds 

Epochs: 1 || Local Duration: 1156913 microseconds 

Epochs: 1 || Local Duration: 1159273 microseconds 

Epochs: 1 || Local Duration: 1161201 microseconds 

Epochs: 1 || Local Duration: 1687090 microseconds 

Epochs: 1 || Local Duration: 1117785 microseconds 

Epochs: 1 || Local Duration: 1122678 microseconds 

Epochs: 1 || Local Duration: 1781849 microseconds 

Epochs: 1 || Local Duration: 1138172 microseconds 

Epochs: 1 || Local Duration: 1750341 microseconds 

Epochs: 1 || Local Duration: 1137520 microseconds 

Epochs: 1 || Local Duration: 1136201 microseconds 

Epochs: 1 || Local Duration: 1763320 microseconds 

Epochs: 1 || Local Duration: 1146116 microseconds 

Epochs: 1 || Local Duration: 1755721 microseconds 

Epochs: 1 || Local Duration: 1764187 microseconds 

Epochs: 1 || Local Duration: 1153137 microseconds 

Epochs: 1 || Local Duration: 1156374 microseconds 

Epochs: 1 || Local Duration: 1769260 microseconds 

Epochs: 1 || Local Duration: 1769907 microseconds 

Epochs: 1 || Local Duration: 1240618 microseconds 

Epochs: 1 || Local Duration: 1220682 microseconds 

Epochs: 1 || Local Duration: 1230719 microseconds 

Epochs: 1 || Local Duration: 1235088 microseconds 

Epochs: 1 || Local Duration: 1237786 microseconds 

Epochs: 1 || Local Duration: 1233400 microseconds 

Epochs: 1 || Local Duration: 1248282 microseconds 

Epochs: 1 || Local Duration: 1252927 microseconds 

Epochs: 1 || Local Duration: 1656400 microseconds 

Epochs: 1 || Local Duration: 1804596 microseconds 

Epochs: 1 || Local Duration: 1788620 microseconds 

Epochs: 1 || Local Duration: 1790821 microseconds 

Epochs: 1 || Local Duration: 1797450 microseconds 

Epochs: 1 || Local Duration: 1808701 microseconds 

Epochs: 1 || Local Duration: 1808853 microseconds 

Epochs: 1 || Local Duration: 1815854 microseconds 

Epochs: 1 || Local Duration: 1129986 microseconds 

Epochs: 1 || Local Duration: 1132403 microseconds 

Epochs: 1 || Local Duration: 1133168 microseconds 

Epochs: 1 || Local Duration: 1135441 microseconds 

Epochs: 1 || Local Duration: 1157056 microseconds 

Epochs: 1 || Local Duration: 1152426 microseconds 

Epochs: 1 || Local Duration: 1149953 microseconds 

Epochs: 1 || Local Duration: 1152655 microseconds 

Epochs: 1 || Local Duration: 1649505 microseconds 

Epochs: 1 || Local Duration: 1119721 microseconds 

Epochs: 1 || Local Duration: 1127168 microseconds 

Epochs: 1 || Local Duration: 1125849 microseconds 

Epochs: 1 || Local Duration: 1124171 microseconds 

Epochs: 1 || Local Duration: 1128124 microseconds 

Epochs: 1 || Local Duration: 1132111 microseconds 

Epochs: 1 || Local Duration: 1144901 microseconds 

Epochs: 1 || Local Duration: 1790817 microseconds 

Epochs: 1 || Local Duration: 1776227 microseconds 

Epochs: 1 || Local Duration: 1143127 microseconds 

Epochs: 1 || Local Duration: 1783199 microseconds 

Epochs: 1 || Local Duration: 1802043 microseconds 

Epochs: 1 || Local Duration: 1796573 microseconds 

Epochs: 1 || Local Duration: 1785464 microseconds 

Epochs: 1 || Local Duration: 1795244 microseconds 

Epochs: 1 || Local Duration: 1224652 microseconds 

Epochs: 1 || Local Duration: 1228981 microseconds 

Epochs: 1 || Local Duration: 1229224 microseconds 

Epochs: 1 || Local Duration: 1231530 microseconds 

Epochs: 1 || Local Duration: 1232055 microseconds 

Epochs: 1 || Local Duration: 1234030 microseconds 

Epochs: 1 || Local Duration: 1657753 microseconds 

Epochs: 1 || Local Duration: 1230062 microseconds 

Epochs: 1 || Local Duration: 1229660 microseconds 

Epochs: 1 || Local Duration: 1786284 microseconds 

Epochs: 1 || Local Duration: 1804553 microseconds 

Epochs: 1 || Local Duration: 1801810 microseconds 

Epochs: 1 || Local Duration: 1791721 microseconds 

Epochs: 1 || Local Duration: 1796296 microseconds 

