make: Nothing to be done for `all'.
ASH: 32 threads, 256 models
Epochs: 1 || Local Duration: 1361815 microseconds 

Epochs: 1 || Local Duration: 1377863 microseconds 

Epochs: 1 || Local Duration: 1378567 microseconds 

Epochs: 1 || Local Duration: 1380401 microseconds 

Epochs: 1 || Local Duration: 1382540 microseconds 

Epochs: 1 || Local Duration: 1384144 microseconds 

Epochs: 1 || Local Duration: 1392372 microseconds 

Epochs: 1 || Local Duration: 1397023 microseconds 

Epochs: 1 || Local Duration: 1398225 microseconds 

Epochs: 1 || Local Duration: 1403087 microseconds 

Epochs: 1 || Local Duration: 1406252 microseconds 

Epochs: 1 || Local Duration: 1412585 microseconds 

Epochs: 1 || Local Duration: 1413872 microseconds 

Epochs: 1 || Local Duration: 1418778 microseconds 

Epochs: 1 || Local Duration: 1434622 microseconds 

Epochs: 1 || Local Duration: 1448584 microseconds 

Epochs: 1 || Local Duration: 2255083 microseconds 

Epochs: 1 || Local Duration: 2269846 microseconds 

Epochs: 1 || Local Duration: 2285558 microseconds 

Epochs: 1 || Local Duration: 2290967 microseconds 

Epochs: 1 || Local Duration: 2296812 microseconds 

Epochs: 1 || Local Duration: 2307872 microseconds 

Epochs: 1 || Local Duration: 2315893 microseconds 

Epochs: 1 || Local Duration: 2334277 microseconds 

Epochs: 1 || Local Duration: 2335008 microseconds 

Epochs: 1 || Local Duration: 2335969 microseconds 

Epochs: 1 || Local Duration: 2337608 microseconds 

Epochs: 1 || Local Duration: 2339827 microseconds 

Epochs: 1 || Local Duration: 2341713 microseconds 

Epochs: 1 || Local Duration: 2363937 microseconds 

Epochs: 1 || Local Duration: 2379270 microseconds 

Epochs: 1 || Local Duration: 2807690 microseconds 

Epochs: 1 || Local Duration: 1432522 microseconds 

Epochs: 1 || Local Duration: 1437938 microseconds 

Epochs: 1 || Local Duration: 1437210 microseconds 

Epochs: 1 || Local Duration: 1428393 microseconds 

Epochs: 1 || Local Duration: 1461992 microseconds 

Epochs: 1 || Local Duration: 1443213 microseconds 

Epochs: 1 || Local Duration: 1428714 microseconds 

Epochs: 1 || Local Duration: 1424328 microseconds 

Epochs: 1 || Local Duration: 1453038 microseconds 

Epochs: 1 || Local Duration: 1441697 microseconds 

Epochs: 1 || Local Duration: 1430961 microseconds 

Epochs: 1 || Local Duration: 1442793 microseconds 

Epochs: 1 || Local Duration: 1449240 microseconds 

Epochs: 1 || Local Duration: 1428066 microseconds 

Epochs: 1 || Local Duration: 1418826 microseconds 

Epochs: 1 || Local Duration: 1417600 microseconds 

Epochs: 1 || Local Duration: 1798338 microseconds 

Epochs: 1 || Local Duration: 1817923 microseconds 

Epochs: 1 || Local Duration: 1815989 microseconds 

Epochs: 1 || Local Duration: 1868264 microseconds 

Epochs: 1 || Local Duration: 1848038 microseconds 

Epochs: 1 || Local Duration: 1896474 microseconds 

Epochs: 1 || Local Duration: 1829854 microseconds 

Epochs: 1 || Local Duration: 1877678 microseconds 

Epochs: 1 || Local Duration: 1401795 microseconds 

Epochs: 1 || Local Duration: 1408866 microseconds 

Epochs: 1 || Local Duration: 1417539 microseconds 

Epochs: 1 || Local Duration: 1422728 microseconds 

Epochs: 1 || Local Duration: 1906759 microseconds 

Epochs: 1 || Local Duration: 1902171 microseconds 

Epochs: 1 || Local Duration: 1910902 microseconds 

Epochs: 1 || Local Duration: 1910440 microseconds 

Epochs: 1 || Local Duration: 1918697 microseconds 

Epochs: 1 || Local Duration: 1887744 microseconds 

Epochs: 1 || Local Duration: 1904739 microseconds 

Epochs: 1 || Local Duration: 1447137 microseconds 

Epochs: 1 || Local Duration: 1446261 microseconds 

Epochs: 1 || Local Duration: 1439999 microseconds 

Epochs: 1 || Local Duration: 1446364 microseconds 

Epochs: 1 || Local Duration: 1452379 microseconds 

Epochs: 1 || Local Duration: 1464932 microseconds 

Epochs: 1 || Local Duration: 1455421 microseconds 

Epochs: 1 || Local Duration: 1472669 microseconds 

Epochs: 1 || Local Duration: 1464687 microseconds 

Epochs: 1 || Local Duration: 1474256 microseconds 

Epochs: 1 || Local Duration: 1465441 microseconds 

Epochs: 1 || Local Duration: 1485752 microseconds 

Epochs: 1 || Local Duration: 2089434 microseconds 

Epochs: 1 || Local Duration: 1254538 microseconds 

Epochs: 1 || Local Duration: 1251520 microseconds 

Epochs: 1 || Local Duration: 1258430 microseconds 

Epochs: 1 || Local Duration: 1261125 microseconds 

Epochs: 1 || Local Duration: 1250955 microseconds 

Epochs: 1 || Local Duration: 1250767 microseconds 

Epochs: 1 || Local Duration: 1261529 microseconds 

Epochs: 1 || Local Duration: 1267374 microseconds 

Epochs: 1 || Local Duration: 1243213 microseconds 

Epochs: 1 || Local Duration: 1247228 microseconds 

Epochs: 1 || Local Duration: 1237998 microseconds 

Epochs: 1 || Local Duration: 1264727 microseconds 

Epochs: 1 || Local Duration: 1276565 microseconds 

Epochs: 1 || Local Duration: 1290488 microseconds 

Epochs: 1 || Local Duration: 1322347 microseconds 

Epochs: 1 || Local Duration: 1377630 microseconds 

Epochs: 1 || Local Duration: 1938288 microseconds 

Epochs: 1 || Local Duration: 1926084 microseconds 

Epochs: 1 || Local Duration: 1946007 microseconds 

Epochs: 1 || Local Duration: 1951868 microseconds 

Epochs: 1 || Local Duration: 1834922 microseconds 

Epochs: 1 || Local Duration: 1971540 microseconds 

Epochs: 1 || Local Duration: 1986070 microseconds 

Epochs: 1 || Local Duration: 2013038 microseconds 

Epochs: 1 || Local Duration: 2000937 microseconds 

Epochs: 1 || Local Duration: 1961713 microseconds 

Epochs: 1 || Local Duration: 1996212 microseconds 

Epochs: 1 || Local Duration: 2003782 microseconds 

Epochs: 1 || Local Duration: 2019646 microseconds 

Epochs: 1 || Local Duration: 2008730 microseconds 

Epochs: 1 || Local Duration: 2040620 microseconds 

Epochs: 1 || Local Duration: 1060278 microseconds 

Epochs: 1 || Local Duration: 1078370 microseconds 

Epochs: 1 || Local Duration: 1085747 microseconds 

Epochs: 1 || Local Duration: 1102050 microseconds 

Epochs: 1 || Local Duration: 1083313 microseconds 

Epochs: 1 || Local Duration: 1096264 microseconds 

Epochs: 1 || Local Duration: 1076970 microseconds 

Epochs: 1 || Local Duration: 1078960 microseconds 

Epochs: 1 || Local Duration: 1106321 microseconds 

Epochs: 1 || Local Duration: 1100879 microseconds 

Epochs: 1 || Local Duration: 1087687 microseconds 

Epochs: 1 || Local Duration: 1123758 microseconds 

Epochs: 1 || Local Duration: 1086583 microseconds 

Epochs: 1 || Local Duration: 1105459 microseconds 

Epochs: 1 || Local Duration: 1090092 microseconds 

Epochs: 1 || Local Duration: 1098419 microseconds 

Epochs: 1 || Local Duration: 1034699 microseconds 

Epochs: 1 || Local Duration: 1075613 microseconds 

Epochs: 1 || Local Duration: 1074350 microseconds 

Epochs: 1 || Local Duration: 1074433 microseconds 

Epochs: 1 || Local Duration: 1062008 microseconds 

Epochs: 1 || Local Duration: 1071931 microseconds 

Epochs: 1 || Local Duration: 1058500 microseconds 

Epochs: 1 || Local Duration: 1060600 microseconds 

Epochs: 1 || Local Duration: 1067783 microseconds 

Epochs: 1 || Local Duration: 1081305 microseconds 

Epochs: 1 || Local Duration: 1075200 microseconds 

Epochs: 1 || Local Duration: 1085122 microseconds 

Epochs: 1 || Local Duration: 1079798 microseconds 

Epochs: 1 || Local Duration: 1085136 microseconds 

Epochs: 1 || Local Duration: 1089708 microseconds 

Epochs: 1 || Local Duration: 1076695 microseconds 

Epochs: 1 || Local Duration: 2253838 microseconds 

Epochs: 1 || Local Duration: 2256310 microseconds 

Epochs: 1 || Local Duration: 2269333 microseconds 

Epochs: 1 || Local Duration: 2285459 microseconds 

Epochs: 1 || Local Duration: 2285181 microseconds 

Epochs: 1 || Local Duration: 2273893 microseconds 

Epochs: 1 || Local Duration: 2326578 microseconds 

Epochs: 1 || Local Duration: 2275113 microseconds 

Epochs: 1 || Local Duration: 2329848 microseconds 

Epochs: 1 || Local Duration: 2318019 microseconds 

Epochs: 1 || Local Duration: 2271767 microseconds 

Epochs: 1 || Local Duration: 2281987 microseconds 

Epochs: 1 || Local Duration: 2319552 microseconds 

Epochs: 1 || Local Duration: 2319645 microseconds 

Epochs: 1 || Local Duration: 2330010 microseconds 

Epochs: 1 || Local Duration: 1078734 microseconds 

Epochs: 2 || Local Duration: 2065568 microseconds 

Epochs: 2 || Local Duration: 2058784 microseconds 

Epochs: 2 || Local Duration: 2029075 microseconds 

Epochs: 2 || Local Duration: 2036615 microseconds 

Epochs: 2 || Local Duration: 2035985 microseconds 

Epochs: 2 || Local Duration: 2053297 microseconds 

Epochs: 2 || Local Duration: 2069728 microseconds 

Epochs: 2 || Local Duration: 2034463 microseconds 

Epochs: 2 || Local Duration: 2065279 microseconds 

Epochs: 2 || Local Duration: 2072840 microseconds 

Epochs: 2 || Local Duration: 2085331 microseconds 

Epochs: 2 || Local Duration: 2067765 microseconds 

Epochs: 2 || Local Duration: 2063495 microseconds 

Epochs: 2 || Local Duration: 2087718 microseconds 

Epochs: 2 || Local Duration: 2059250 microseconds 

Epochs: 2 || Local Duration: 1974269 microseconds 

Epochs: 1 || Local Duration: 1096879 microseconds 

Epochs: 1 || Local Duration: 1072863 microseconds 

Epochs: 1 || Local Duration: 1077848 microseconds 

Epochs: 1 || Local Duration: 1093933 microseconds 

Epochs: 1 || Local Duration: 1080864 microseconds 

Epochs: 1 || Local Duration: 1087259 microseconds 

Epochs: 1 || Local Duration: 1079232 microseconds 

Epochs: 1 || Local Duration: 1092396 microseconds 

Epochs: 1 || Local Duration: 1106314 microseconds 

Epochs: 1 || Local Duration: 1114331 microseconds 

Epochs: 1 || Local Duration: 1078751 microseconds 

Epochs: 1 || Local Duration: 1094388 microseconds 

Epochs: 1 || Local Duration: 1109374 microseconds 

Epochs: 1 || Local Duration: 1110115 microseconds 

Epochs: 1 || Local Duration: 1083218 microseconds 

Epochs: 1 || Local Duration: 1063277 microseconds 

Epochs: 1 || Local Duration: 7487444 microseconds 

Epochs: 2 || Local Duration: 4173060 microseconds 

Epochs: 2 || Local Duration: 4187825 microseconds 

Epochs: 2 || Local Duration: 4179385 microseconds 

Epochs: 2 || Local Duration: 4165475 microseconds 

Epochs: 2 || Local Duration: 4171862 microseconds 

Epochs: 2 || Local Duration: 4128364 microseconds 

Epochs: 2 || Local Duration: 4142681 microseconds 

Epochs: 2 || Local Duration: 4113461 microseconds 

Epochs: 2 || Local Duration: 4148522 microseconds 

Epochs: 2 || Local Duration: 4220727 microseconds 

Epochs: 2 || Local Duration: 4203922 microseconds 

Epochs: 2 || Local Duration: 4223963 microseconds 

Epochs: 2 || Local Duration: 1962987 microseconds 

Epochs: 2 || Local Duration: 1975639 microseconds 

Epochs: 2 || Local Duration: 2005477 microseconds 

Epochs: 2 || Local Duration: 4221030 microseconds 

Epochs: 2 || Local Duration: 2009252 microseconds 

Epochs: 2 || Local Duration: 4232898 microseconds 

Epochs: 2 || Local Duration: 2037371 microseconds 

Epochs: 2 || Local Duration: 2023397 microseconds 

Epochs: 2 || Local Duration: 2010929 microseconds 

Epochs: 2 || Local Duration: 4226185 microseconds 

Epochs: 2 || Local Duration: 2030469 microseconds 

Epochs: 2 || Local Duration: 1998222 microseconds 

Epochs: 2 || Local Duration: 1991711 microseconds 

Epochs: 2 || Local Duration: 2055819 microseconds 

Epochs: 2 || Local Duration: 2055842 microseconds 

Epochs: 2 || Local Duration: 2050712 microseconds 

Epochs: 2 || Local Duration: 2053627 microseconds 

Epochs: 2 || Local Duration: 2072152 microseconds 

Epochs: 2 || Local Duration: 1912816 microseconds 

Epochs: 1 || Local Duration: 1099752 microseconds 

Epochs: 1 || Local Duration: 1104904 microseconds 

Epochs: 1 || Local Duration: 1091076 microseconds 

Epochs: 1 || Local Duration: 1079033 microseconds 

Epochs: 1 || Local Duration: 1066798 microseconds 

Epochs: 1 || Local Duration: 1101416 microseconds 

Epochs: 1 || Local Duration: 1095851 microseconds 

Epochs: 1 || Local Duration: 1105297 microseconds 

Epochs: 1 || Local Duration: 1107533 microseconds 

Epochs: 1 || Local Duration: 1109044 microseconds 

Epochs: 1 || Local Duration: 1105774 microseconds 

Epochs: 1 || Local Duration: 1105903 microseconds 

Epochs: 1 || Local Duration: 1102148 microseconds 

Epochs: 1 || Local Duration: 1101204 microseconds 

Epochs: 1 || Local Duration: 1119608 microseconds 

Epochs: 1 || Local Duration: 1064609 microseconds 

Epochs: 1 || Local Duration: 2244322 microseconds 

Epochs: 1 || Local Duration: 2243511 microseconds 

Epochs: 1 || Local Duration: 2251081 microseconds 

Epochs: 1 || Local Duration: 2275606 microseconds 

Epochs: 1 || Local Duration: 2271179 microseconds 

Epochs: 1 || Local Duration: 2284431 microseconds 

Epochs: 1 || Local Duration: 2258404 microseconds 

Epochs: 1 || Local Duration: 2276295 microseconds 

Epochs: 1 || Local Duration: 2279244 microseconds 

Epochs: 1 || Local Duration: 2320829 microseconds 

Epochs: 1 || Local Duration: 2314415 microseconds 

Epochs: 1 || Local Duration: 2334509 microseconds 

Epochs: 1 || Local Duration: 2326290 microseconds 

Epochs: 1 || Local Duration: 2310789 microseconds 

Epochs: 1 || Local Duration: 2317909 microseconds 

Epochs: 2 || Local Duration: 2014156 microseconds 

Epochs: 2 || Local Duration: 2045482 microseconds 

Epochs: 2 || Local Duration: 2066805 microseconds 

Epochs: 2 || Local Duration: 2068076 microseconds 

Epochs: 2 || Local Duration: 2070850 microseconds 

Epochs: 2 || Local Duration: 2088385 microseconds 

Epochs: 2 || Local Duration: 2107916 microseconds 

Epochs: 2 || Local Duration: 2118594 microseconds 

Epochs: 2 || Local Duration: 2115638 microseconds 

Epochs: 2 || Local Duration: 2123600 microseconds 

Epochs: 2 || Local Duration: 2128965 microseconds 

Epochs: 2 || Local Duration: 2135282 microseconds 

Epochs: 2 || Local Duration: 2129926 microseconds 

Epochs: 2 || Local Duration: 2137565 microseconds 

Epochs: 2 || Local Duration: 2159339 microseconds 

Epochs: 2 || Local Duration: 2007340 microseconds 

Epochs: 1 || Local Duration: 1081251 microseconds 

Epochs: 1 || Local Duration: 1098634 microseconds 

Epochs: 1 || Local Duration: 1091485 microseconds 

Epochs: 1 || Local Duration: 1101504 microseconds 

Epochs: 1 || Local Duration: 1088822 microseconds 

Epochs: 1 || Local Duration: 1092662 microseconds 

Epochs: 1 || Local Duration: 1098516 microseconds 

Epochs: 1 || Local Duration: 1107113 microseconds 

Epochs: 1 || Local Duration: 1108607 microseconds 

Epochs: 1 || Local Duration: 1112683 microseconds 

Epochs: 1 || Local Duration: 1115754 microseconds 

Epochs: 1 || Local Duration: 1116186 microseconds 

Epochs: 1 || Local Duration: 1108783 microseconds 

Epochs: 1 || Local Duration: 1112035 microseconds 

Epochs: 1 || Local Duration: 1134056 microseconds 

Epochs: 1 || Local Duration: 1043676 microseconds 

Epochs: 2 || Local Duration: 4233739 microseconds 

Epochs: 2 || Local Duration: 4247660 microseconds 

Epochs: 2 || Local Duration: 2013496 microseconds 

Epochs: 2 || Local Duration: 4262503 microseconds 

