make: Nothing to be done for `all'.
ASH: 16 threads, 512 models
Epochs: 1 || Local Duration: 959536 microseconds 

Epochs: 1 || Local Duration: 959841 microseconds 

Epochs: 1 || Local Duration: 959959 microseconds 

Epochs: 1 || Local Duration: 963029 microseconds 

Epochs: 1 || Local Duration: 965159 microseconds 

Epochs: 1 || Local Duration: 965480 microseconds 

Epochs: 1 || Local Duration: 978460 microseconds 

Epochs: 1 || Local Duration: 987717 microseconds 

Epochs: 1 || Local Duration: 835952 microseconds 

Epochs: 1 || Local Duration: 853367 microseconds 

Epochs: 1 || Local Duration: 858738 microseconds 

Epochs: 1 || Local Duration: 1823407 microseconds 

Epochs: 1 || Local Duration: 858119 microseconds 

Epochs: 1 || Local Duration: 860880 microseconds 

Epochs: 1 || Local Duration: 870723 microseconds 

Epochs: 1 || Local Duration: 1838440 microseconds 

Epochs: 1 || Local Duration: 873982 microseconds 

Epochs: 1 || Local Duration: 1868655 microseconds 

Epochs: 1 || Local Duration: 1870008 microseconds 

Epochs: 1 || Local Duration: 891721 microseconds 

Epochs: 1 || Local Duration: 1870460 microseconds 

Epochs: 1 || Local Duration: 1871797 microseconds 

Epochs: 1 || Local Duration: 1872090 microseconds 

Epochs: 1 || Local Duration: 864658 microseconds 

Epochs: 1 || Local Duration: 869521 microseconds 

Epochs: 1 || Local Duration: 875030 microseconds 

Epochs: 1 || Local Duration: 880495 microseconds 

Epochs: 1 || Local Duration: 885936 microseconds 

Epochs: 1 || Local Duration: 879977 microseconds 

Epochs: 1 || Local Duration: 883175 microseconds 

Epochs: 1 || Local Duration: 894609 microseconds 

Epochs: 1 || Local Duration: 835184 microseconds 

Epochs: 1 || Local Duration: 849420 microseconds 

Epochs: 1 || Local Duration: 858330 microseconds 

Epochs: 1 || Local Duration: 859259 microseconds 

Epochs: 1 || Local Duration: 865201 microseconds 

Epochs: 1 || Local Duration: 867411 microseconds 

Epochs: 1 || Local Duration: 1762942 microseconds 

Epochs: 1 || Local Duration: 1759439 microseconds 

Epochs: 1 || Local Duration: 860167 microseconds 

Epochs: 1 || Local Duration: 867329 microseconds 

Epochs: 1 || Local Duration: 1792589 microseconds 

Epochs: 1 || Local Duration: 1796884 microseconds 

Epochs: 1 || Local Duration: 1799586 microseconds 

Epochs: 1 || Local Duration: 1801423 microseconds 

Epochs: 1 || Local Duration: 1802386 microseconds 

Epochs: 1 || Local Duration: 849115 microseconds 

Epochs: 1 || Local Duration: 860367 microseconds 

Epochs: 1 || Local Duration: 875491 microseconds 

Epochs: 1 || Local Duration: 880820 microseconds 

Epochs: 1 || Local Duration: 871548 microseconds 

Epochs: 1 || Local Duration: 887568 microseconds 

Epochs: 1 || Local Duration: 866497 microseconds 

Epochs: 1 || Local Duration: 887776 microseconds 

Epochs: 1 || Local Duration: 836393 microseconds 

Epochs: 1 || Local Duration: 857385 microseconds 

Epochs: 1 || Local Duration: 865065 microseconds 

Epochs: 1 || Local Duration: 864744 microseconds 

Epochs: 1 || Local Duration: 868557 microseconds 

Epochs: 1 || Local Duration: 864429 microseconds 

Epochs: 1 || Local Duration: 1750387 microseconds 

Epochs: 1 || Local Duration: 1750896 microseconds 

Epochs: 1 || Local Duration: 882973 microseconds 

Epochs: 1 || Local Duration: 877583 microseconds 

Epochs: 1 || Local Duration: 1785084 microseconds 

Epochs: 1 || Local Duration: 1792502 microseconds 

Epochs: 1 || Local Duration: 1793542 microseconds 

Epochs: 1 || Local Duration: 1793491 microseconds 

Epochs: 1 || Local Duration: 1793020 microseconds 

Epochs: 1 || Local Duration: 5622874 microseconds 

Epochs: 1 || Local Duration: 801728 microseconds 

Epochs: 1 || Local Duration: 825747 microseconds 

Epochs: 1 || Local Duration: 821815 microseconds 

Epochs: 1 || Local Duration: 824930 microseconds 

Epochs: 1 || Local Duration: 835053 microseconds 

Epochs: 1 || Local Duration: 820458 microseconds 

Epochs: 1 || Local Duration: 829179 microseconds 

Epochs: 1 || Local Duration: 842571 microseconds 

Epochs: 1 || Local Duration: 858299 microseconds 

Epochs: 1 || Local Duration: 860658 microseconds 

Epochs: 1 || Local Duration: 1620929 microseconds 

Epochs: 1 || Local Duration: 1623123 microseconds 

Epochs: 1 || Local Duration: 865683 microseconds 

Epochs: 1 || Local Duration: 874947 microseconds 

Epochs: 1 || Local Duration: 876881 microseconds 

Epochs: 1 || Local Duration: 874807 microseconds 

Epochs: 1 || Local Duration: 879532 microseconds 

Epochs: 1 || Local Duration: 876039 microseconds 

Epochs: 1 || Local Duration: 1670074 microseconds 

Epochs: 1 || Local Duration: 1680074 microseconds 

Epochs: 1 || Local Duration: 1684281 microseconds 

Epochs: 1 || Local Duration: 1684294 microseconds 

Epochs: 1 || Local Duration: 1685488 microseconds 

Epochs: 1 || Local Duration: 847848 microseconds 

Epochs: 1 || Local Duration: 876475 microseconds 

Epochs: 1 || Local Duration: 885713 microseconds 

Epochs: 1 || Local Duration: 893147 microseconds 

Epochs: 1 || Local Duration: 882775 microseconds 

Epochs: 1 || Local Duration: 894430 microseconds 

Epochs: 1 || Local Duration: 894176 microseconds 

Epochs: 1 || Local Duration: 898744 microseconds 

Epochs: 1 || Local Duration: 857698 microseconds 

Epochs: 1 || Local Duration: 860774 microseconds 

Epochs: 1 || Local Duration: 879385 microseconds 

Epochs: 1 || Local Duration: 1783814 microseconds 

Epochs: 1 || Local Duration: 1791287 microseconds 

Epochs: 1 || Local Duration: 878361 microseconds 

Epochs: 1 || Local Duration: 886997 microseconds 

Epochs: 1 || Local Duration: 885866 microseconds 

Epochs: 1 || Local Duration: 887520 microseconds 

Epochs: 1 || Local Duration: 889888 microseconds 

Epochs: 1 || Local Duration: 1825825 microseconds 

Epochs: 1 || Local Duration: 1840701 microseconds 

Epochs: 1 || Local Duration: 1836205 microseconds 

Epochs: 1 || Local Duration: 1835122 microseconds 

Epochs: 1 || Local Duration: 1839597 microseconds 

Epochs: 1 || Local Duration: 854325 microseconds 

Epochs: 1 || Local Duration: 873150 microseconds 

Epochs: 1 || Local Duration: 882667 microseconds 

Epochs: 1 || Local Duration: 886277 microseconds 

Epochs: 1 || Local Duration: 885554 microseconds 

Epochs: 1 || Local Duration: 887534 microseconds 

Epochs: 1 || Local Duration: 889994 microseconds 

Epochs: 1 || Local Duration: 893271 microseconds 

Epochs: 1 || Local Duration: 869715 microseconds 

Epochs: 1 || Local Duration: 877233 microseconds 

Epochs: 1 || Local Duration: 883474 microseconds 

Epochs: 1 || Local Duration: 1789321 microseconds 

Epochs: 1 || Local Duration: 893153 microseconds 

Epochs: 1 || Local Duration: 1799259 microseconds 

Epochs: 1 || Local Duration: 897594 microseconds 

Epochs: 1 || Local Duration: 903873 microseconds 

Epochs: 1 || Local Duration: 905147 microseconds 

Epochs: 1 || Local Duration: 906389 microseconds 

