make: Nothing to be done for `all'.
ASH: 32 threads, 128 models
Epochs: 1 || Local Duration: 1151309 microseconds 

Epochs: 1 || Local Duration: 1155138 microseconds 

Epochs: 1 || Local Duration: 1156984 microseconds 

Epochs: 1 || Local Duration: 1161873 microseconds 

Epochs: 1 || Local Duration: 1166243 microseconds 

Epochs: 1 || Local Duration: 1168988 microseconds 

Epochs: 1 || Local Duration: 1172527 microseconds 

Epochs: 1 || Local Duration: 1173252 microseconds 

Epochs: 1 || Local Duration: 1173566 microseconds 

Epochs: 1 || Local Duration: 1175246 microseconds 

Epochs: 1 || Local Duration: 1175589 microseconds 

Epochs: 1 || Local Duration: 1176371 microseconds 

Epochs: 1 || Local Duration: 1178420 microseconds 

Epochs: 1 || Local Duration: 1184265 microseconds 

Epochs: 1 || Local Duration: 1186971 microseconds 

Epochs: 1 || Local Duration: 1196871 microseconds 

Epochs: 1 || Local Duration: 1018030 microseconds 

Epochs: 1 || Local Duration: 1026163 microseconds 

Epochs: 1 || Local Duration: 1031948 microseconds 

Epochs: 1 || Local Duration: 1032081 microseconds 

Epochs: 1 || Local Duration: 1032874 microseconds 

Epochs: 1 || Local Duration: 1048713 microseconds 

Epochs: 1 || Local Duration: 1038674 microseconds 

Epochs: 1 || Local Duration: 1035944 microseconds 

Epochs: 1 || Local Duration: 1035840 microseconds 

Epochs: 1 || Local Duration: 1050805 microseconds 

Epochs: 1 || Local Duration: 1049470 microseconds 

Epochs: 1 || Local Duration: 1053649 microseconds 

Epochs: 1 || Local Duration: 1044756 microseconds 

Epochs: 1 || Local Duration: 1065306 microseconds 

Epochs: 1 || Local Duration: 1061534 microseconds 

Epochs: 1 || Local Duration: 1072576 microseconds 

Epochs: 1 || Local Duration: 2358843 microseconds 

Epochs: 1 || Local Duration: 2358888 microseconds 

Epochs: 1 || Local Duration: 2361232 microseconds 

Epochs: 1 || Local Duration: 2381940 microseconds 

Epochs: 1 || Local Duration: 2393478 microseconds 

Epochs: 1 || Local Duration: 2395904 microseconds 

Epochs: 1 || Local Duration: 2399466 microseconds 

Epochs: 1 || Local Duration: 2403685 microseconds 

Epochs: 1 || Local Duration: 2404149 microseconds 

Epochs: 1 || Local Duration: 2411156 microseconds 

Epochs: 1 || Local Duration: 2418065 microseconds 

Epochs: 1 || Local Duration: 2419150 microseconds 

Epochs: 1 || Local Duration: 2420115 microseconds 

Epochs: 1 || Local Duration: 2421811 microseconds 

Epochs: 1 || Local Duration: 2425802 microseconds 

Epochs: 1 || Local Duration: 3515206 microseconds 

Epochs: 1 || Local Duration: 1464631 microseconds 

Epochs: 1 || Local Duration: 1466476 microseconds 

Epochs: 1 || Local Duration: 1462989 microseconds 

Epochs: 1 || Local Duration: 1415950 microseconds 

Epochs: 1 || Local Duration: 1459142 microseconds 

Epochs: 1 || Local Duration: 1461781 microseconds 

Epochs: 1 || Local Duration: 1461782 microseconds 

Epochs: 1 || Local Duration: 1461612 microseconds 

Epochs: 1 || Local Duration: 1464383 microseconds 

Epochs: 1 || Local Duration: 1501377 microseconds 

Epochs: 1 || Local Duration: 1431980 microseconds 

Epochs: 1 || Local Duration: 1452176 microseconds 

Epochs: 1 || Local Duration: 1450254 microseconds 

Epochs: 1 || Local Duration: 1449439 microseconds 

Epochs: 1 || Local Duration: 1460066 microseconds 

Epochs: 1 || Local Duration: 1423534 microseconds 

Epochs: 1 || Local Duration: 1907799 microseconds 

Epochs: 1 || Local Duration: 1974121 microseconds 

Epochs: 1 || Local Duration: 1933724 microseconds 

Epochs: 1 || Local Duration: 1973112 microseconds 

Epochs: 1 || Local Duration: 1942894 microseconds 

Epochs: 1 || Local Duration: 2000192 microseconds 

Epochs: 1 || Local Duration: 1972067 microseconds 

Epochs: 1 || Local Duration: 1957069 microseconds 

Epochs: 1 || Local Duration: 2001198 microseconds 

Epochs: 1 || Local Duration: 1967697 microseconds 

Epochs: 1 || Local Duration: 1967958 microseconds 

Epochs: 1 || Local Duration: 1974349 microseconds 

Epochs: 1 || Local Duration: 1991796 microseconds 

Epochs: 1 || Local Duration: 1977796 microseconds 

Epochs: 1 || Local Duration: 1991221 microseconds 

Epochs: 1 || Local Duration: 1536771 microseconds 

Epochs: 1 || Local Duration: 1572030 microseconds 

Epochs: 1 || Local Duration: 1545378 microseconds 

Epochs: 1 || Local Duration: 1558211 microseconds 

Epochs: 1 || Local Duration: 1566732 microseconds 

Epochs: 1 || Local Duration: 1566048 microseconds 

Epochs: 1 || Local Duration: 1543435 microseconds 

Epochs: 1 || Local Duration: 1576873 microseconds 

Epochs: 1 || Local Duration: 1562039 microseconds 

Epochs: 1 || Local Duration: 1579179 microseconds 

Epochs: 1 || Local Duration: 1562208 microseconds 

Epochs: 1 || Local Duration: 1563989 microseconds 

Epochs: 1 || Local Duration: 1569295 microseconds 

Epochs: 1 || Local Duration: 1573799 microseconds 

Epochs: 1 || Local Duration: 1575965 microseconds 

Epochs: 1 || Local Duration: 1571985 microseconds 

Epochs: 1 || Local Duration: 1915787 microseconds 

Epochs: 2 || Local Duration: 2734302 microseconds 

Epochs: 2 || Local Duration: 2766318 microseconds 

Epochs: 2 || Local Duration: 2805241 microseconds 

Epochs: 2 || Local Duration: 2791926 microseconds 

Epochs: 2 || Local Duration: 2837367 microseconds 

Epochs: 2 || Local Duration: 2813717 microseconds 

Epochs: 2 || Local Duration: 2821070 microseconds 

